,User,Tweet_time,Tweet,Hashtag,Retweet,Favorite,Join_time,Follower,Friend
820,VasanthAndCo_IN,2022-09-13 08:00:30+00:00,"The new version of Apple Iphone 14 Series is here!! Get Ready to Experience the Apple Iphone 14 Series with us. Pre bookings started from now @ Vasanth &amp; Co PREBOOK NOW - Call +91 97898 30300 #iphone14 #iphone14pro #iphone14promax #AirPodsPro 
👉https://t.co/JbkvQYB4Ay https://t.co/xbsyWXVd7e","[{'text': 'iphone14', 'indices': [196, 205]}, {'text': 'iphone14pro', 'indices': [206, 218]}, {'text': 'iphone14promax', 'indices': [219, 234]}, {'text': 'AirPodsPro', 'indices': [235, 246]}]",0,1,2017-09-21 10:53:38+00:00,1925,44
821,danyal_says_,2022-09-13 07:56:00+00:00,"Happiness level after buying an iPhone 14 🥺❤️💯
#iPhone14Pro https://t.co/NPTpnPP2bz","[{'text': 'iPhone14Pro', 'indices': [47, 59]}]",1,1,2020-12-23 20:41:58+00:00,261,1648
822,kitahoki,2022-09-13 07:51:24+00:00,"Apple iPhone 14 Pro 1TB Deep Purple, available on amazon united kingdom 🇬🇧 see all buying options. #ads 
Checkout: https://t.co/QVo5Ofmz2e

#iPhone14 #iPhone #iphone14pro","[{'text': 'ads', 'indices': [99, 103]}, {'text': 'iPhone14', 'indices': [140, 149]}, {'text': 'iPhone', 'indices': [150, 157]}, {'text': 'iphone14pro', 'indices': [158, 170]}]",0,0,2020-05-10 03:46:11+00:00,175,138
823,FaizanA17120449,2022-09-13 07:46:43+00:00,"Amazing New wallpaper for iphone 😍 #iPhone14 #iPhone14Pro #iPhone14Plus #iPhone14ProMax #iPhone13ProMax #iPhone13Pro #iphone11 #iPhone12 #iPhoneWallpaper #iPhone12mini #iPhone12ProMax #Wallpapers #wallpaper #HDwallpaper 
          🛑 Download Link 🛑
https://t.co/RZKmu8ethU… https://t.co/Bvuagp1pE4","[{'text': 'iPhone14', 'indices': [35, 44]}, {'text': 'iPhone14Pro', 'indices': [45, 57]}, {'text': 'iPhone14Plus', 'indices': [58, 71]}, {'text': 'iPhone14ProMax', 'indices': [72, 87]}, {'text': 'iPhone13ProMax', 'indices': [88, 103]}, {'text': 'iPhone13Pro', 'indices': [104, 116]}, {'text': 'iphone11', 'indices': [117, 126]}, {'text': 'iPhone12', 'indices': [127, 136]}, {'text': 'iPhoneWallpaper', 'indices': [137, 153]}, {'text': 'iPhone12mini', 'indices': [154, 167]}, {'text': 'iPhone12ProMax', 'indices': [168, 183]}, {'text': 'Wallpapers', 'indices': [184, 195]}, {'text': 'wallpaper', 'indices': [196, 206]}, {'text': 'HDwallpaper', 'indices': [207, 219]}]",0,1,2021-08-19 08:40:48+00:00,12,78
824,MajinBuOfficial,2022-09-13 07:46:38+00:00,"I just bought a Xiaomi to be able to do this...

#apple #iphone14pro #xiaomi https://t.co/sy45EIC1dR","[{'text': 'apple', 'indices': [49, 55]}, {'text': 'iphone14pro', 'indices': [56, 68]}, {'text': 'xiaomi', 'indices': [69, 76]}]",13,118,2016-12-15 18:15:29+00:00,15089,597
825,FaizanA17120449,2022-09-13 07:46:23+00:00,"Amazing New wallpaper for iphone 😍 #iPhone14 #iPhone14Pro #iPhone14Plus #iPhone14ProMax #iPhone13ProMax #iPhone13Pro #iphone11 #iPhone12 #iPhoneWallpaper #iPhone12mini #iPhone12ProMax #Wallpapers #wallpaper #HDwallpaper 
          🛑 Download Link 🛑
https://t.co/RZKmu8f17s… https://t.co/AyXcp3qCFf","[{'text': 'iPhone14', 'indices': [35, 44]}, {'text': 'iPhone14Pro', 'indices': [45, 57]}, {'text': 'iPhone14Plus', 'indices': [58, 71]}, {'text': 'iPhone14ProMax', 'indices': [72, 87]}, {'text': 'iPhone13ProMax', 'indices': [88, 103]}, {'text': 'iPhone13Pro', 'indices': [104, 116]}, {'text': 'iphone11', 'indices': [117, 126]}, {'text': 'iPhone12', 'indices': [127, 136]}, {'text': 'iPhoneWallpaper', 'indices': [137, 153]}, {'text': 'iPhone12mini', 'indices': [154, 167]}, {'text': 'iPhone12ProMax', 'indices': [168, 183]}, {'text': 'Wallpapers', 'indices': [184, 195]}, {'text': 'wallpaper', 'indices': [196, 206]}, {'text': 'HDwallpaper', 'indices': [207, 219]}]",0,2,2021-08-19 08:40:48+00:00,12,78
826,FaizanA17120449,2022-09-13 07:46:01+00:00,"Amazing New wallpaper for iphone 😍 #iPhone14 #iPhone14Pro #iPhone14Plus #iPhone14ProMax #iPhone13ProMax #iPhone13Pro #iphone11 #iPhone12 #iPhoneWallpaper #iPhone12mini #iPhone12ProMax #Wallpapers #wallpaper #HDwallpaper 
          🛑 Download Link 🛑
https://t.co/RZKmu8ethU… https://t.co/35hJ7rarjv","[{'text': 'iPhone14', 'indices': [35, 44]}, {'text': 'iPhone14Pro', 'indices': [45, 57]}, {'text': 'iPhone14Plus', 'indices': [58, 71]}, {'text': 'iPhone14ProMax', 'indices': [72, 87]}, {'text': 'iPhone13ProMax', 'indices': [88, 103]}, {'text': 'iPhone13Pro', 'indices': [104, 116]}, {'text': 'iphone11', 'indices': [117, 126]}, {'text': 'iPhone12', 'indices': [127, 136]}, {'text': 'iPhoneWallpaper', 'indices': [137, 153]}, {'text': 'iPhone12mini', 'indices': [154, 167]}, {'text': 'iPhone12ProMax', 'indices': [168, 183]}, {'text': 'Wallpapers', 'indices': [184, 195]}, {'text': 'wallpaper', 'indices': [196, 206]}, {'text': 'HDwallpaper', 'indices': [207, 219]}]",0,1,2021-08-19 08:40:48+00:00,12,78
827,ARXGAMING_,2022-09-13 07:41:37+00:00,Wow… #Apple really did increase the price on #iPhone14Pro this year 😅 https://t.co/bSIY0vLdUT,"[{'text': 'Apple', 'indices': [5, 11]}, {'text': 'iPhone14Pro', 'indices': [45, 57]}]",0,0,2019-02-03 19:37:30+00:00,35,255
828,01Synergy_,2022-09-13 07:38:57+00:00,"iOS 16 is hereafter much wait, Apple has released the latest iteration of iOS for iPhones.

Here are the best features coming to iPhone with iOS 16 in this blog 

https://t.co/vfFwZkUiIU
#iOS16 #iPhone14 #iPhone14Pro #AppleEvent2022","[{'text': 'iOS16', 'indices': [187, 193]}, {'text': 'iPhone14', 'indices': [194, 203]}, {'text': 'iPhone14Pro', 'indices': [204, 216]}, {'text': 'AppleEvent2022', 'indices': [217, 232]}]",0,0,2022-08-02 08:37:06+00:00,6,8
829,TechDroidGear,2022-09-13 07:30:10+00:00,"#iphone #iphone #iphone  Kya deta h tumhe #iphone?                                              
Only wrong answers please 😃😃             #iOS16  #ios #apple #AppleEvent #iPhone14 #iPhone #iphone14pro","[{'text': 'iphone', 'indices': [0, 7]}, {'text': 'iphone', 'indices': [8, 15]}, {'text': 'iphone', 'indices': [16, 23]}, {'text': 'iphone', 'indices': [42, 49]}, {'text': 'iOS16', 'indices': [138, 144]}, {'text': 'ios', 'indices': [146, 150]}, {'text': 'apple', 'indices': [151, 157]}, {'text': 'AppleEvent', 'indices': [158, 169]}, {'text': 'iPhone14', 'indices': [170, 179]}, {'text': 'iPhone', 'indices': [180, 187]}, {'text': 'iphone14pro', 'indices': [188, 200]}]",0,0,2020-07-28 03:26:04+00:00,10,62
